gene	overall_threshold	overall_score	soilList_threshold	soilList_score	refseqTheta_threshold	refseqTheta_score	oceanList_threshold	oceanList_score	infantList_threshold	infantList_score
16S	0.9670000000000001	1.0183008330072394	0.9680000000000001	1.5987105044868413	0.9950000000000001	1.5586986307002948	0.9980000000000001	1.3421052631578947	0.903	0.37761607233567
GrpE	0.9610000000000001	1.7832071157481766	0.9550000000000001	1.7728633728387462	0.9740000000000001	1.7929246238307621	0.9470000000000001	1.8323013039994174	0.9630000000000001	1.752222685861518
PGK	0.9650000000000001	1.7975960487743172	0.9590000000000001	1.8175518153225898	0.9760000000000001	1.7656827816926488	0.9460000000000001	1.762582538517975	0.9770000000000001	1.864268313459608
Ribosomal_L10	0.9840000000000001	1.7857510418693794	0.9610000000000001	1.8840900105281841	0.9940000000000001	1.725866686480991	0.9810000000000001	1.6947713679336291	0.9890000000000001	1.8860233428402715
Ribosomal_L23	0.9810000000000001	1.8054475881794498	0.9630000000000001	1.8948056763941008	0.9940000000000001	1.5868436743735308	0.9800000000000001	1.8003261578604044	0.9870000000000001	1.8106563211956939
Ribosomal_L3	0.9800000000000001	1.789452531394681	0.9400000000000001	1.8455243314549423	0.9940000000000001	1.680877149226922	0.9720000000000001	1.8115038261531307	0.9830000000000001	1.8288397355936326
Ribosomal_L4	0.9830000000000001	1.8071044447504807	0.9550000000000001	1.8790181630366276	0.9940000000000001	1.6892851144589442	0.9760000000000001	1.757766990291262	0.9870000000000001	1.8616138861638438
Ribosomal_L5	0.9840000000000001	1.8141337704781417	0.9660000000000001	1.8638101604166537	0.9910000000000001	1.7029152470520241	0.9740000000000001	1.8347247891572664	0.9840000000000001	1.8347968961756858
Ribosomal_L6	0.9750000000000001	1.8471647443700459	0.9590000000000001	1.8556395812909696	0.9930000000000001	1.7551194826226457	0.9740000000000001	1.8338223345671212	0.9890000000000001	1.9120277688473508
Ribosomal_S11	0.9770000000000001	1.7852100878931683	0.9690000000000001	1.8574630725869927	0.9940000000000001	1.6303384326114876	0.9710000000000001	1.8022525449426035	0.9890000000000001	1.7560969173715588
Ribosomal_S13	0.9790000000000001	1.7918987827344257	0.9690000000000001	1.814749507099425	0.9920000000000001	1.6536951140967062	0.9800000000000001	1.7668785547005688	0.9890000000000001	1.8536095115321043
Ribosomal_S17	0.9790000000000001	1.7932438546424063	0.9690000000000001	1.82198653447335	0.9930000000000001	1.7199529216960374	0.9730000000000001	1.8162104276822166	0.9850000000000001	1.8057161804160908
